"level","family","genus","rn","rn.bl","bn","bn.bl","gen.n","sp.n","taxa"
"G","Echimyidae","Kannabateomys","N3717",6.04887843,"N3717",6.04887843,1,1,"Kannabateomys_amblyonyx"
"G","Echimyidae","Santamartamys","N3719",5.842232828,"N3719",5.842232828,1,1,"Santamartamys_rufodorsalis"
"G","Echimyidae","Diplomys","N3719",-152.9145512272,"N3720",1.416904143,1,2,""
"G","Echimyidae","Carterodon","N3721",14.95823481,"N3721",14.95823481,1,1,"Carterodon_sulcidens"
"G","Capromyidae","Hexolobodon","N3722",9.361841563,"N3722",9.361841563,1,1,"Hexolobodon_phenax"
"G","Capromyidae","Plagiodontia","N3725",-157.3015878553,"N3726",0.4323464795,1,2,""
"G","Capromyidae","Isolobodon","N3725",-157.3015878553,"N3727",0.446306261,1,2,""
"G","Echimyidae","Brotomys","N3724",2.924971202,"N3724",2.924971202,1,1,"Brotomys_voratus"
"G","Capromyidae","Geocapromys","N3728",-152.2810077213,"N3729",2.0191252497,1,4,""
"G","Capromyidae","Capromys","N3732",2.651696287,"N3732",2.651696287,1,1,"Capromys_pilorides"
"G","Capromyidae","Mesocapromys","N3733",-156.4517608341,"N3734",1.1617500875,1,5,""
"G","Echimyidae","Heteropsomys","N3738",2.056265723,"N3738",2.056265723,1,1,"Heteropsomys_insulans"
"G","Capromyidae","Mysateles","N3739",-156.9823720994,"N3740",1.4265833046,1,4,""
"G","Echimyidae","Boromys","N3739",-156.9823720994,"N3743",0.7011050962,1,2,""
"G","Ctenomyidae","Ctenomys","N3744",-140.9671115492,"N3745",5.6026662572,1,65,""
"G","Octodontidae","Tympanoctomys","N3811",-154.5900830092,"N3812",2.26780448,1,3,""
"G","Octodontidae","Pipanacoctomys","N3811",4.166702654,"N3811",4.166702654,1,1,"Pipanacoctomys_aureus"
"G","Octodontidae","Octomys","N3810",6.437458984,"N3810",6.437458984,1,1,"Octomys_mimax"
"G","Octodontidae","Octodontomys","N3814",6.99307958,"N3814",6.99307958,1,1,"Octodontomys_gliroides"
"G","Octodontidae","Octodon","N3815",-154.0944669642,"N3816",2.5908984761,1,4,""
"G","Octodontidae","Spalacopus","N3819",2.452776356,"N3819",2.452776356,1,1,"Spalacopus_cyanus"
"G","Octodontidae","Aconaemys","N3819",-156.3040067792,"N3820",1.544565106,1,3,""
"G","Abrocomidae","Cuscomys","N3825",-155.0702415059,"N3826",0.5546787997,1,2,""
"G","Abrocomidae","Abrocoma","N3629",-136.0142510602,"N3822",11.9864911037,1,8,""
"G","Dipodidae","Sicista","N3834",-130.73295448,"N3835",8.011546002,1,13,""
"G","Dipodidae","Eozapus","N3848",7.354737667,"N3848",7.354737667,1,1,"Eozapus_setchuanus"
"G","Dipodidae","Zapus","N3849",-153.337179907,"N3850",3.3349012672,1,3,""
"G","Dipodidae","Napaeozapus","N3849",5.419620096,"N3849",5.419620096,1,1,"Napaeozapus_insignis"
"G","Dipodidae","Cardiocranius","N3853",12.9552833,"N3853",12.9552833,1,1,"Cardiocranius_paradoxus"
"G","Dipodidae","Salpingotus","N3853",-145.801516696,"N3854",7.158839027,1,4,""
"G","Dipodidae","Paradipus","N3859",9.11742156,"N3859",9.11742156,1,1,"Paradipus_ctenodactylus"
"G","Dipodidae","Dipus","N3860",7.526661163,"N3860",7.526661163,1,1,"Dipus_sagitta"
"G","Dipodidae","Jaculus","N3862",-154.6766247526,"N3863",1.9430309865,1,3,""
"G","Dipodidae","Salpingotulus","N3865",2.344494349,"N3865",2.344494349,1,1,"Salpingotulus_michaelis"
"G","Dipodidae","Eremodipus","N3865",2.344494349,"N3865",2.344494349,1,1,"Eremodipus_lichtensteini"
"G","Dipodidae","Stylodipus","N3861",-153.2554636216,"N3866",4.322279865,1,3,""
"G","Dipodidae","Allactodipus","N3872",0.3410147886,"N3872",0.3410147886,1,1,"Allactodipus_bobrinskii"
"G","Dipodidae","Pygeretmus","N3874",-156.8067663683,"N3875",1.281799592,1,3,""
"G","Dipodidae","Allactaga","N3858",-144.7939042556,"N3868",5.5745168677,1,9,""
"G","Dipodidae","Euchoreutes","N3857",14.39430677,"N3857",14.39430677,1,1,"Euchoreutes_naso"
"G","Platacanthomyidae","Typhlomys","N3885",23.45187359,"N3885",23.45187359,1,1,"Typhlomys_cinereus"
"G","Platacanthomyidae","Platacanthomys","N3885",23.45187359,"N3885",23.45187359,1,1,"Platacanthomys_lasiurus"
"G","Spalacidae","Spalax","N3888",-133.5069767311,"N3889",9.6888270303,1,9,""
"G","Spalacidae","Myospalax","N3897",-149.6897987011,"N3898",2.899556872,1,3,""
"G","Spalacidae","Eospalax","N3897",-149.6897987011,"N3900",4.719207519,1,3,""
"G","Spalacidae","Tachyoryctes","N3902",-148.69664136,"N3903",1.848036414,1,2,""
"G","Spalacidae","Rhizomys","N3904",-151.03015897,"N3905",6.475693966,1,3,""
"G","Spalacidae","Cannomys","N3904",7.726639251,"N3904",7.726639251,1,1,"Cannomys_badius"
"G","Calomyscidae","Calomyscus","N3907",-125.615808,"N3908",16.30236664,1,8,""
"G","Cricetidae","Prometheomys","N3919",10.48077885,"N3919",10.48077885,1,1,"Prometheomys_schaposchnikowi"
"G","Cricetidae","Dicrostonyx","N3921",-151.0682390898,"N3922",2.8158358226,1,8,""
"G","Cricetidae","Phenacomys","N3929",-156.1591567878,"N3930",1.594853307,1,2,""
"G","Cricetidae","Arborimus","N3929",-156.1591567878,"N3931",0.58582476762,1,3,""
"G","Cricetidae","Ondatra","N3934",5.15973288,"N3934",5.15973288,1,1,"Ondatra_zibethicus"
